timestamp,fps,lane_confidence,target_x,risk,steering,throttle,state,armed
1786509454.7986166,12.670743372804639,0.3975921658986175,63.39926739926912,0.0,1.0,0.11,avoid:white,1
1786509454.881994,13.370122396778118,0.8911290322580645,35.39926739926912,0.0,1.0,0.11,avoid:white,1
1786509454.9602182,13.139207932465597,0.7641129032258064,33.57646660175175,0.0,1.0,0.11,avoid:white,1
1786509455.0427132,13.028135864407682,0.7701612903225807,30.183001388205128,0.0,1.0,0.11,avoid:white,1
1786509455.136199,12.864392915322979,0.8911290322580645,27.084055308706866,0.0,1.0,0.11,avoid:white,1
1786509455.221119,12.44200826308369,0.842741935483871,25.070527346364884,0.0,1.0,0.11,avoid:white,1
1786509455.304848,12.273894081085853,0.9274193548387096,23.032816187843338,0.0,1.0,0.11,avoid:white,1
1786509455.397594,12.220363135751388,0.842741935483871,19.150872415508047,0.0,1.0,0.11,avoid:white,1
1786509455.48685,11.956276851861329,0.8366935483870968,16.249278471315506,0.0,1.0,0.11,avoid:white,1
1786509455.5762599,11.772519885575896,0.8366935483870968,14.295877031076685,0.0,1.0,0.11,avoid:white,1
1786509455.6571264,11.68139155601773,0.8366935483870968,11.621640248364685,0.0,1.0,0.11,avoid:white,1
1786509455.736916,11.814582669557016,0.8245967741935484,9.285542561942606,0.0,1.0,0.11,avoid:white,1
1786509455.8207107,11.90591419668835,0.8185483870967742,8.26960598365983,0.0,1.0,0.11,avoid:white,1
1786509455.9042625,11.960472517028403,0.8004032258064516,6.171250890612129,0.0,1.0,0.11,avoid:white,1
1786509455.983375,11.972563527498574,0.7883064516129032,2.5082242308894536,0.0,1.0,0.11,avoid:white,1
1786509456.064127,12.104894684598905,0.7883064516129032,2.378302080200342,0.0,1.0,0.11,avoid:white,1
1786509456.1418965,12.151650577481403,0.7459677419354839,0.0,0.0,1.0,0.11,avoid:white,1
1786509456.217747,12.28660664255542,0.7399193548387096,0.0,0.0,1.0,0.11,avoid:white,1
1786509456.2934172,12.48422363140356,0.7338709677419355,0.0,0.0,1.0,0.11,avoid:white,1
1786509456.3739884,12.61545393686568,0.7641129032258064,0.0,0.0,1.0,0.11,avoid:white,1
1786509456.451058,12.588770257982581,0.7701612903225807,0.4517113800393666,0.0,1.0,0.11,avoid:white,1
1786509456.5381036,12.662375451137226,0.7641129032258064,1.2409233572947305,0.0,1.0,0.11,avoid:white,1
1786509456.61503,12.399357114349181,0.6068548387096775,0.7581147515771631,0.0,1.0,0.11,avoid:white,1
1786509456.6920428,12.522761312487287,0.6310483870967742,1.7694679395168365,0.0,1.0,0.11,avoid:white,1
1786509456.7689254,12.645399448643712,0.5381336405529953,0.0,0.0,1.0,0.11,avoid:white,1
1786509456.842011,12.726028152469267,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509456.913803,12.900635494574335,0.0,95.15259949991798,0.0,1.0,0.11,avoid:white,1
1786509456.99129,13.090083231302344,0.0,87.49079079918249,0.0,1.0,0.11,avoid:white,1
1786509457.0652826,13.079528193648907,0.0,84.55625145564034,0.0,1.0,0.11,avoid:white,1
1786509457.1418464,13.155759855654853,0.0,81.90772139266369,0.0,1.0,0.11,avoid:white,1
1786509457.2234025,13.141601465800923,0.0,79.36988483626601,0.0,1.0,0.11,avoid:white,1
1786509457.3051848,12.972067730007256,0.0,75.30003848115035,0.0,1.0,0.11,avoid:white,1
1786509457.3867176,12.81105685025041,0.0,71.59643928832293,0.0,1.0,0.11,avoid:white,1
1786509457.463681,12.712354870530085,0.0,66.6664204963214,0.0,1.0,0.11,avoid:white,1
1786509457.537114,12.768394235411643,0.0,63.85298154679538,0.0,1.0,0.11,avoid:white,1
1786509457.6183362,12.922535541801519,0.0,60.467964503670316,0.0,1.0,0.11,avoid:white,1
1786509457.6958172,12.749305028851936,0.0,57.90238368070976,0.0,1.0,0.11,avoid:white,1
1786509457.772559,12.843426833127078,0.0,55.61700418912136,0.0,1.0,0.11,avoid:white,1
1786509457.851097,12.88052565334048,0.0,51.12820630353508,0.0,1.0,0.11,avoid:white,1
1786509457.9264848,12.861472932675465,0.0,48.46192771079541,0.0,1.0,0.11,avoid:white,1
1786509458.0008445,12.945411400194562,0.0,45.5852437435812,0.0,1.0,0.11,avoid:white,1
1786509458.0773158,12.974646770954141,0.0,26.70195749368412,0.0,1.0,0.11,avoid:white,1
1786509458.1570094,13.044418493327328,0.0,22.048520110339382,0.0,1.0,0.11,avoid:white,1
1786509458.23647,12.914369819541832,0.0,17.536730148210324,0.0,1.0,0.11,avoid:white,1
1786509458.3122299,12.876264215861577,0.0,12.502142639743965,0.0,1.0,0.11,avoid:white,1
1786509458.39153,12.950882063631191,0.0,9.227894487018375,0.0,1.0,0.11,avoid:white,1
1786509458.472524,12.88381044692243,0.0,4.590609700256721,0.0,1.0,0.11,avoid:white,1
1786509458.5478873,12.766099439724112,0.0,0.7500151867980094,0.0,1.0,0.11,avoid:white,1
1786509458.6261568,12.845664730465524,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509458.7016811,12.852618701123166,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509458.7749217,12.913101456651052,0.0,0.0,0.0,1.0,0.11,avoid:white,1
1786509458.8503575,13.061587372568434,0.0,0.0,0.0,1.0,0.11,avoid:white,1
